USERNAME,ACCOUNT_STATUS,LOCK_DATE,EXPIRY_DATE,PROFILE,LAST_LOGIN
SYS,OPEN,,,DEFAULT,
SYSTEM,OPEN,,,DEFAULT,2026-01-12 15:08:07
XS$NULL,LOCKED,2021-08-17 23:11:11,,DEFAULT,
LBACSYS,LOCKED,2024-09-30 01:18:03,,DEFAULT,
OUTLN,LOCKED,2024-09-30 01:18:03,,DEFAULT,
DBSNMP,LOCKED,2024-09-30 01:18:02,,DEFAULT,
APPQOSSYS,LOCKED,2024-09-30 01:18:02,,DEFAULT,
DBSFWUSER,LOCKED,2024-09-30 01:18:03,,DEFAULT,
GGSYS,LOCKED,2024-09-30 01:18:03,,DEFAULT,
ANONYMOUS,LOCKED,2024-09-30 01:18:03,,DEFAULT,
CTXSYS,LOCKED,2024-09-30 01:18:03,,DEFAULT,
DVSYS,LOCKED,2024-09-30 01:18:03,,DEFAULT,
DVF,LOCKED,2024-09-30 01:18:03,,DEFAULT,
AUDSYS,LOCKED,2024-09-30 01:18:03,,DEFAULT,
GSMADMIN_INTERNAL,LOCKED,2024-09-30 01:18:03,,DEFAULT,
MDSYS,LOCKED,2024-09-30 01:18:03,,DEFAULT,
XDB,LOCKED,2024-09-30 01:18:03,,DEFAULT,
GSMCATUSER,LOCKED,2024-09-30 01:18:02,,DEFAULT,
MDDATA,LOCKED,2024-09-30 01:18:02,,DEFAULT,
SYSBACKUP,LOCKED,2024-09-30 01:18:02,,DEFAULT,
REMOTE_SCHEDULER_AGENT,LOCKED,2024-09-30 01:18:03,,DEFAULT,
GSMUSER,LOCKED,2024-09-30 01:18:03,,DEFAULT,
SYSRAC,OPEN,,,DEFAULT,
GSMROOTUSER,LOCKED,2024-09-30 01:18:03,,DEFAULT,
OPS$ORACLE,OPEN,,,DEFAULT,2026-01-12 14:03:17
DIP,LOCKED,2021-08-17 23:10:29,,DEFAULT,
SYSKM,LOCKED,2024-09-30 01:18:03,,DEFAULT,
DGPDB_INT,LOCKED,2024-09-30 01:18:03,,DEFAULT,
ORACLE_OCM,LOCKED,2024-09-30 01:18:03,,DEFAULT,
SYS$UMF,LOCKED,2024-09-30 01:18:03,,DEFAULT,
SYSDG,LOCKED,2024-09-30 01:18:03,,DEFAULT,
